Price,Response,Value,RSI
0.38968,,10000,33.94953949108661
0.39015,,10000,55.82493378687126
0.39015,,10000,55.73226912093054
0.39023,,10000,60.89490791964768
0.39114,,10000,86.60332598431016
0.39081,,10000,63.677307031841245
0.39081,,10000,63.91944034656149
0.39101,,10000,73.5038610682367
0.39077,,10000,49.748040046287024
0.39179,,10000,83.7894219327372
0.39301,,10000,92.7222193038072
0.39321,,10000,93.81562766799827
0.39328,,10000,94.29890643474903
0.39373,OPshort,10000,96.41730191539197
0.39394,,10000.0,97.13808302311564
0.39551,,10005.333604246565,99.12492610537913
0.39295,,10045.208645518502,36.71640754806494
0.39312,,9980.18946994133,40.44527374461127
0.39317,,9984.507149569503,41.864602191994614
0.39396,,9985.777055342494,63.75366561033133
0.39496,,10005.84156655576,78.85491454513027
0.39566,,10031.239682015594,85.28558049178098
0.39586,,10049.018362837478,87.02503373683126
0.39611,,10054.097985929444,89.3075323829239
0.39635,,10060.447514794403,91.46265975634458
0.3947,,10066.543062504761,29.338528976695287
0.39476,,10024.636171996037,31.853107469218088
0.39502,,10026.160058923628,44.6348239510957
0.39467,,10032.763568943183,32.28253322644406
0.39495,,10023.874228532242,48.887948181026644
0.39484,,10030.985700860996,43.05082415801098
0.395,,10028.191908160416,55.57928904450718
0.39485,,10032.255606633988,42.395285306946754
0.39448,,10028.445889315011,22.322749751525592
0.39507,,10019.048586594874,63.2699543244559
0.39508,,10034.033474716176,63.6425423823583
0.39511,,10034.287455870774,65.65757112187471
0.39497,,10035.04939933457,46.905815176323486
0.39465,,10031.493663170191,23.639962840026442
0.39407,,10023.366266223045,10.13929479100321
0.39513,,10008.635359256343,65.17956209362484
0.39547,,10035.557361643765,73.0904685850281
0.39542,,10044.192720900108,69.67350332218203
0.3958,,10042.922815127116,80.36691406620402
0.39589,,10052.574099001853,82.59603887757899
0.39567,,10054.859929393238,58.5780494074038
0.39606,,10049.272343992076,76.67913502014045
0.3965,,10059.177609021412,86.68898925814499
0.39668,,10070.352779823737,89.4187940717529
0.39664,,10074.924440606506,83.63560852179134
0.39781,,10073.908515988112,95.73520910993953
0.39713,,10103.624311076117,58.22619504388051
0.3975,,10086.353592563431,68.40238368067077
0.39709,,10095.75089528357,48.813967778885434
0.39687,,10085.337667945038,39.446144794751184
0.39715,,10079.750082543875,55.43054630204965
0.39715,,10086.861554872628,55.4440311237978
0.39744,,10086.861554872628,72.41271461499723
0.39775,,10094.22700835598,82.89478960636936
0.3956,,10102.100424148528,16.728303077566864
0.39562,,10047.494475909887,17.585197342194263
0.39596,,10048.002438219084,35.61039831315573
0.39646,,10056.637797475427,56.61095928176549
0.39679,,10069.336855205343,67.21794539449567
0.39634,,10077.718233307087,44.654704538404545
0.39607,,10066.289081350164,34.397293771173466
0.39572,,10059.431590176007,23.627613422903465
0.39571,,10050.542249765067,23.36002968954628
0.3961,,10050.28826861047,56.767036212466685
0.39591,,10060.193533639804,42.989613022142954
0.39551,,10055.367891702435,24.377586376405503
0.39584,,10045.208645518502,50.707398434126745
0.39569,,10053.590023620247,40.87503586563386
0.39541,,10049.780306301273,26.8026502739837
0.39588,,10042.668833972519,61.27390800431911
0.39553,,10054.60594823864,40.08133246547235
0.39573,,10045.716607827699,53.66998055569744
0.39497,,10050.796230919666,23.23126285501486
0.3952,,10031.493663170191,38.986501052002
0.39449,,10037.335229725953,20.022395388531777
0.39455,,10019.302567749473,24.70179943385807
0.39475,,10020.826454677062,41.68012203036872
0.3946,,10025.906077769028,33.12645633677127
0.39493,,10022.096360450054,59.9768810039185
0.39434,,10030.4777385518,28.929215214132014
0.39373,,10015.492850430499,15.96065571910998
0.39429,,10000.0,47.96434406332947
0.39407,,10014.222944657506,39.205989894410436
0.39409,,10008.635359256343,40.572582882536224
0.39288,,10009.14332156554,12.614401434140532
0.39239,,9978.411601859141,8.852043660845553
0.39226,,9965.966525283824,7.937613921903505
0.39246,,9962.664770274045,25.893678793402188
0.39309,,9967.74439336601,61.62193100554512
0.39356,,9983.745206105707,75.05576331267743
0.39429,,9995.682320371829,86.25743797626883
0.39429,,10014.222944657506,86.29839281757951
0.39452,,10014.222944657506,89.59816738310275
0.39445,,10020.064511213268,80.91605939053962
0.3946,,10018.28664313108,85.84080175617899
0.39427,,10022.096360450054,47.44494564952345
0.39349,,10013.71498234831,18.369566088118987
0.39407,,9993.90445228964,51.52915692902314
0.39417,,10008.635359256343,56.35979970258042
0.39449,,10011.175170802326,70.18787825861376
0.39441,,10019.302567749473,62.815358212264044
0.39472,,10017.270718512686,76.94125136812929
0.3943,,10025.144134305234,43.25091138838654
0.39403,,10014.476925812103,30.30120853150494
0.39361,,10007.619434637949,17.6952368414385
0.39188,,9996.95222614482,5.004739582165016
0.3913,clshort,9953.01348639931,3.6434827145710074
0.39116,OPlong,10617.17420567395,3.3248289817564682
0.39196,,10617.17420567395,44.771202669013846
0.39244,,10638.888438633707,60.19457397443112
0.39279,,10651.916978409563,69.61870406139151
0.39156,,10661.416955329456,31.10466737161623
0.39084,,10628.031322153829,20.9278762491672
0.39052,,10608.488512490047,17.132936353517323
0.39084,,10599.802819306142,34.680806569669926
0.39111,,10608.488512490047,48.441978734331585
0.39143,,10615.817066113965,62.60779591152322
0.39195,,10624.502759297868,77.62302537698307
0.39184,,10638.617010721711,68.9750500645962
0.39264,,10635.631303689745,86.45015297676323
0.39198,,10657.345536649502,51.34606489474469
0.39258,,10639.431294457701,68.73880481232266
0.39176,,10655.71696917752,39.59731273728794
0.3924,,10633.459880393768,59.577932632716134
0.3929,,10650.831266761576,70.87141623068146
0.39271,,10664.402662361425,61.3024386939902
0.3931,,10659.245532033481,72.98424365194003
0.39343,cllong,10669.831220601363,80.4876391373962
0.39328,,11233.315565907098,67.73124558849835
0.39387,,11233.315565907098,83.29746377557689
0.39388,,11233.315565907098,83.47816344463244
0.39394,,11233.315565907098,85.06310030367041
0.39388,,11233.315565907098,74.13772067430926
0.39373,,11233.315565907098,49.63448281573177
0.39478,,11233.315565907098,88.82603493669487
0.39499,,11233.315565907098,90.9204108563634
0.39484,,11233.315565907098,75.82964476235497
0.39416,,11233.315565907098,35.15470059105222
0.39442,,11233.315565907098,50.32154641996234
0.39404,,11233.315565907098,33.209381335626546
0.39451,,11233.315565907098,59.028690321880035
0.3946,,11233.315565907098,63.08738803709704
0.39475,,11233.315565907098,70.53736515940278
0.39453,,11233.315565907098,48.79141647928832
0.39427,,11233.315565907098,31.588791656284883
0.39469,,11233.315565907098,63.096367278357896
0.3949,,11233.315565907098,72.59263905655848
0.39454,,11233.315565907098,43.73978833340097
0.39462,,11233.315565907098,50.06690004036291
0.3937,,11233.315565907098,16.47294465844803
0.39333,,11233.315565907098,11.733704824243574
0.39361,,11233.315565907098,33.55466001529051
0.39279,,11233.315565907098,16.04753249913655
