timestamp,rls_balance,rls_active_balance,btc_balance,btc_active_balance,eth_balance,eth_active_balance,ltc_balance,ltc_active_balance,usdt_balance,usdt_active_balance,xrp_balance,xrp_active_balance,bch_balance,bch_active_balance,bnb_balance,bnb_active_balance,eos_balance,eos_active_balance,xlm_balance,xlm_active_balance,etc_balance,etc_active_balance,trx_balance,trx_active_balance,pmn_balance,pmn_active_balance,doge_balance,doge_active_balance,uni_balance,uni_active_balance,dai_balance,dai_active_balance,link_balance,link_active_balance,dot_balance,dot_active_balance,aave_balance,aave_active_balance,ada_balance,ada_active_balance,shib_balance,shib_active_balance,sol_balance,sol_active_balance
2025-01-02T15:48:33.838135,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-02T15:49:36.403566,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-02T15:52:48.487119,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-02T15:58:11.284420,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T20:38:37.534557,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T20:49:58.012367,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T23:24:10.760634,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T23:25:13.058082,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T23:26:15.536986,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T23:26:51.117483,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T23:27:42.843986,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T23:28:26.150340,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T23:32:27.922850,6753.630875,6753.630875,0,0,0,0,0,0,21.9292733199,21.9292733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.00932,0.00932,0,0,0.0008625,0.0008625
2025-01-03T23:35:47.770461,6753.630875,6753.630875,0,0,0,0,0,0,16.0324733199,16.0324733199,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,5.4023,5.4023,0,0,0.0008625,0.0008625
2025-01-03T23:39:23.289210,6753.630875,6753.630875,0,0,0,0,0,0,21.9270004599,21.9270004599,0.03785,0.03785,0,0,0,0,0,0,0,0,0.00962,0.00962,0,0,0,0,0.961,0.961,0,0,0,0,0,0,0,0,0,0,0.0023,0.0023,0,0,0.0008625,0.0008625
